length_of_stay,hotel_name,how_many_trips,normalized_hotel_selection_cost,normalized_hotel_selection_bar,normalized_hotel_selection_distance_to_parks,normalized_hotel_selection_in_room_dining,normalized_hotel_selection_food_court,normalized_hotel_selection_sit_down_dining,normalized_hotel_selection_fine_dining,normalized_hotel_selection_parks_shuttle,normalized_hotel_selection_airport_shuttle,normalized_hotel_selection_in_room_kitchen,normalized_hotel_selection_room_size,normalized_hotel_selection_multiple_bedroom_suites,normalized_hotel_selection_pool,normalized_hotel_selection_theme,normalized_hotel_selection_kids_activities,normalized_hotel_selection_location_on_property
9, Disneys Port Orleans Resort - French Quarter,4,-0.008318265,-0.564769749,0.142329726,-0.378088489,0.188584832,0.567065547,1.318565401,0.87171521,0.717454663,-1.09644485,0.809393939,-1.144778044,0.650185048,-0.368429072,-0.670839038,-0.781453209
8, Disneys Pop Century Resort,10,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,-1.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,-1.349814952,-0.368429072,1.329160962,1.218546791
9, Disneys Pop Century Resort,8,-0.008318265,-0.564769749,0.142329726,-0.378088489,0.188584832,-1.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,-1.190606061,-1.144778044,0.650185048,-0.368429072,0.329160962,1.218546791
5, Disneys Pop Century Resort,7,0.991681735,-0.564769749,-0.857670274,-0.378088489,-1.811415168,-1.432934453,-0.681434599,-0.12828479,0.717454663,-1.09644485,-2.190606061,-1.144778044,1.650185048,-1.368429072,-0.670839038,0.218546791
4, Disneys Pop Century Resort,9,0.991681735,-0.564769749,0.142329726,-0.378088489,1.188584832,-1.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,-2.349814952,-0.368429072,-0.670839038,1.218546791
7, Disneys Pop Century Resort,6,0.991681735,1.435230251,0.142329726,0.621911511,2.188584832,0.567065547,0.318565401,0.87171521,1.717454663,-0.09644485,-0.190606061,0.855221956,1.650185048,-0.368429072,-0.670839038,1.218546791
5, Disneys Pop Century Resort,10,0.991681735,0.435230251,0.142329726,-0.378088489,1.188584832,-1.432934453,-0.681434599,0.87171521,0.717454663,-1.09644485,-1.190606061,-1.144778044,-0.349814952,-0.368429072,-0.670839038,0.218546791
7, Disneys Pop Century Resort,18,-0.008318265,-0.564769749,0.142329726,0.621911511,1.188584832,0.567065547,0.318565401,0.87171521,1.717454663,-0.09644485,-0.190606061,-0.144778044,-0.349814952,-0.368429072,-0.670839038,1.218546791
6, Disneys Polynesian Villas & Bungalows,26,0.991681735,1.435230251,0.142329726,-0.378088489,0.188584832,1.567065547,0.318565401,0.87171521,1.717454663,1.90355515,0.809393939,1.855221956,0.650185048,0.631570928,-0.670839038,1.218546791
7, Disneys Polynesian Villas & Bungalows,,-1.008318265,1.435230251,1.142329726,-0.378088489,-1.811415168,1.567065547,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,0.650185048,1.631570928,-0.670839038,1.218546791
6, Disneys Polynesian Villas & Bungalows,1,-1.008318265,1.435230251,1.142329726,-0.378088489,0.188584832,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,0.809393939,-1.144778044,1.650185048,0.631570928,1.329160962,1.218546791
6, Disneys Polynesian Villas & Bungalows,10,-1.008318265,0.435230251,0.142329726,-0.378088489,0.188584832,0.567065547,0.318565401,-0.12828479,0.717454663,0.90355515,0.809393939,0.855221956,1.650185048,0.631570928,1.329160962,0.218546791
7, Disneys Polynesian Villas & Bungalows,2,-2.008318265,3.435230251,1.142329726,-0.378088489,1.188584832,1.567065547,2.318565401,-0.12828479,0.717454663,-0.09644485,1.809393939,-1.144778044,-2.349814952,1.631570928,-0.670839038,1.218546791
3, Disneys Polynesian Villas & Bungalows,33,-1.008318265,0.435230251,1.142329726,-0.378088489,0.188584832,1.567065547,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,-2.349814952,1.631570928,-0.670839038,1.218546791
3, Disneys Polynesian Villas & Bungalows,14,-1.008318265,-0.564769749,0.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,0.87171521,1.717454663,0.90355515,-0.190606061,-1.144778044,-0.349814952,-2.368429072,-0.670839038,-0.781453209
8, Disneys Old Key West Resort,10,-2.008318265,0.435230251,-0.857670274,0.621911511,-0.811415168,-0.432934453,0.318565401,-0.12828479,0.717454663,2.90355515,0.809393939,2.855221956,-0.349814952,-0.368429072,1.329160962,0.218546791
5, Disneys Old Key West Resort,64,-0.008318265,1.435230251,1.142329726,-0.378088489,0.188584832,0.567065547,2.318565401,0.87171521,1.717454663,0.90355515,1.809393939,0.855221956,1.650185048,0.631570928,0.329160962,1.218546791
7, Disneys Old Key West Resort,25,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,0.567065547,1.318565401,-3.12828479,-2.282545337,-0.09644485,0.809393939,2.855221956,-2.349814952,-0.368429072,-0.670839038,-0.781453209
20, Disneys Old Key West Resort,5,-1.008318265,-0.564769749,-1.857670274,-0.378088489,-1.811415168,-0.432934453,0.318565401,-1.12828479,-2.282545337,1.90355515,1.809393939,-0.144778044,-0.349814952,-1.368429072,-0.670839038,0.218546791
7, Disneys Old Key West Resort,5,-1.008318265,-0.564769749,0.142329726,-0.378088489,-0.811415168,-0.432934453,0.318565401,-0.12828479,0.717454663,-1.09644485,0.809393939,-1.144778044,-0.349814952,-0.368429072,-0.670839038,-0.781453209
17, Disneys Old Key West Resort,14,0.991681735,-0.564769749,-0.857670274,-0.378088489,-1.811415168,-0.432934453,-0.681434599,0.87171521,1.717454663,-0.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,1.329160962,0.218546791
7, Disneys Old Key West Resort,20,0.991681735,-0.564769749,1.142329726,-0.378088489,-1.811415168,-1.432934453,-0.681434599,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,-0.349814952,-0.368429072,-0.670839038,0.218546791
7, Disneys Polynesian Village Resort,4,-1.008318265,1.435230251,1.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,-3.12828479,-2.282545337,-0.09644485,-0.190606061,2.855221956,-2.349814952,-0.368429072,-0.670839038,0.218546791
1, Disneys Polynesian Village Resort,1,-2.008318265,1.435230251,1.142329726,-0.378088489,0.188584832,0.567065547,1.318565401,0.87171521,-0.282545337,-1.09644485,1.809393939,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
10, Disneys Polynesian Village Resort,6,-1.008318265,-0.564769749,0.142329726,-0.378088489,-0.811415168,-0.432934453,-0.681434599,-0.12828479,0.717454663,-1.09644485,-0.190606061,-1.144778044,-0.349814952,1.631570928,-0.670839038,1.218546791
6, Disneys Polynesian Village Resort,20,-0.008318265,-0.564769749,0.142329726,-0.378088489,-0.811415168,-0.432934453,0.318565401,-0.12828479,0.717454663,-1.09644485,-0.190606061,-1.144778044,-0.349814952,-0.368429072,-0.670839038,0.218546791
4, Disneys Polynesian Village Resort,1,0.991681735,0.435230251,1.142329726,-0.378088489,-0.811415168,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,0.809393939,0.855221956,-0.349814952,0.631570928,1.329160962,0.218546791
7, Disneys Polynesian Village Resort,30,-1.008318265,-0.564769749,1.142329726,-0.378088489,1.188584832,1.567065547,-0.681434599,-3.12828479,-2.282545337,-1.09644485,0.809393939,-1.144778044,0.650185048,0.631570928,-0.670839038,1.218546791
4, Disneys Polynesian Village Resort,10,-1.008318265,-0.564769749,1.142329726,-0.378088489,2.188584832,-1.432934453,-0.681434599,-3.12828479,-2.282545337,-1.09644485,0.809393939,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
12, Disneys Grand Floridian Resort & Spa,12,-2.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,2.567065547,3.318565401,-3.12828479,-2.282545337,-1.09644485,-0.190606061,-1.144778044,-1.349814952,1.631570928,-0.670839038,1.218546791
1, Disneys Grand Floridian Resort & Spa,,0.991681735,-0.564769749,1.142329726,-0.378088489,1.188584832,1.567065547,2.318565401,0.87171521,1.717454663,-1.09644485,1.809393939,-1.144778044,0.650185048,1.631570928,-0.670839038,1.218546791
6, Disneys Grand Floridian Resort & Spa,8,-1.008318265,0.435230251,-2.857670274,-0.378088489,0.188584832,2.567065547,2.318565401,-0.12828479,-2.282545337,2.90355515,1.809393939,0.855221956,1.650185048,1.631570928,1.329160962,0.218546791
5, Disneys Grand Floridian Resort & Spa,12,0.991681735,-0.564769749,1.142329726,1.621911511,2.188584832,-0.432934453,-0.681434599,-1.12828479,-2.282545337,-1.09644485,-2.190606061,-1.144778044,1.650185048,0.631570928,-0.670839038,1.218546791
7, Disneys Grand Floridian Resort & Spa,28,0.991681735,-0.564769749,1.142329726,-0.378088489,1.188584832,2.567065547,-0.681434599,0.87171521,1.717454663,1.90355515,0.809393939,2.855221956,-0.349814952,-0.368429072,-0.670839038,1.218546791
13, Disneys Grand Floridian Resort & Spa,15,0.991681735,0.435230251,1.142329726,-0.378088489,1.188584832,0.567065547,0.318565401,-1.12828479,-2.282545337,1.90355515,-0.190606061,2.855221956,0.650185048,-0.368429072,-0.670839038,0.218546791
5, Disneys Grand Floridian Resort & Spa,10,-3.008318265,-0.564769749,1.142329726,0.621911511,0.188584832,-0.432934453,-0.681434599,-0.12828479,-2.282545337,-1.09644485,-1.190606061,0.855221956,0.650185048,0.631570928,-0.670839038,1.218546791
5, Disneys Coronado Springs Resort,7,0.991681735,-0.564769749,-1.857670274,-0.378088489,0.188584832,-1.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,-0.190606061,0.855221956,0.650185048,0.631570928,-0.670839038,-0.781453209
8, Disneys Coronado Springs Resort,6,0.991681735,-0.564769749,0.142329726,-0.378088489,0.188584832,-1.432934453,-0.681434599,-0.12828479,1.717454663,-1.09644485,-0.190606061,-1.144778044,-0.349814952,-0.368429072,-0.670839038,-0.781453209
8, Disneys Coronado Springs Resort,6,-0.008318265,1.435230251,1.142329726,1.621911511,-0.811415168,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,1.809393939,-1.144778044,0.650185048,-0.368429072,-0.670839038,1.218546791
1, Disneys Coronado Springs Resort,6,-0.008318265,-0.564769749,-2.857670274,0.621911511,0.188584832,-0.432934453,-0.681434599,0.87171521,-2.282545337,-0.09644485,-1.190606061,-1.144778044,0.650185048,-0.368429072,-0.670839038,0.218546791
2, Disneys Coronado Springs Resort,5,0.991681735,-0.564769749,-0.857670274,2.621911511,-0.811415168,-1.432934453,-0.681434599,0.87171521,1.717454663,0.90355515,1.809393939,0.855221956,1.650185048,-0.368429072,-0.670839038,-0.781453209
6, Disneys Coronado Springs Resort,5,-1.008318265,-0.564769749,0.142329726,0.621911511,-0.811415168,-0.432934453,0.318565401,-0.12828479,-1.282545337,-0.09644485,0.809393939,-1.144778044,1.650185048,-1.368429072,-0.670839038,-0.781453209
1, Disneys Coronado Springs Resort,1,0.991681735,1.435230251,0.142329726,-0.378088489,1.188584832,1.567065547,-0.681434599,-0.12828479,0.717454663,0.90355515,0.809393939,0.855221956,1.650185048,-1.368429072,1.329160962,0.218546791
4, Disneys Contemporary Resort,6,-2.008318265,0.435230251,1.142329726,0.621911511,0.188584832,2.567065547,3.318565401,0.87171521,1.717454663,-1.09644485,0.809393939,-1.144778044,-0.349814952,-0.368429072,1.329160962,1.218546791
5, Disneys Contemporary Resort,16,-0.008318265,-0.564769749,1.142329726,-0.378088489,2.188584832,1.567065547,-0.681434599,0.87171521,-2.282545337,-1.09644485,1.809393939,-1.144778044,-0.349814952,-0.368429072,-0.670839038,1.218546791
2, Disneys Contemporary Resort,1,-1.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,0.567065547,1.318565401,0.87171521,-1.282545337,0.90355515,-1.190606061,-1.144778044,1.650185048,-0.368429072,2.329160962,1.218546791
3, Disneys Contemporary Resort,15,-1.008318265,-0.564769749,1.142329726,0.621911511,-0.811415168,0.567065547,1.318565401,0.87171521,-0.282545337,0.90355515,0.809393939,0.855221956,-0.349814952,-0.368429072,0.329160962,0.218546791
7, Disneys Contemporary Resort,2,-3.008318265,-0.564769749,1.142329726,-0.378088489,1.188584832,-0.432934453,-0.681434599,0.87171521,1.717454663,0.90355515,0.809393939,-1.144778044,-2.349814952,0.631570928,-0.670839038,1.218546791
2, Disneys Contemporary Resort,10,-1.008318265,-0.564769749,1.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,0.87171521,1.717454663,-0.09644485,0.809393939,-1.144778044,1.650185048,0.631570928,-0.670839038,1.218546791
3, Disneys Contemporary Resort,2,-0.008318265,-0.564769749,0.142329726,-0.378088489,-0.811415168,-0.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,-2.190606061,-1.144778044,-1.349814952,1.631570928,-0.670839038,1.218546791
1, Disneys Caribbean Beach Resort,15,0.991681735,2.435230251,1.142329726,-0.378088489,-1.811415168,2.567065547,-0.681434599,0.87171521,1.717454663,-1.09644485,-2.190606061,-1.144778044,-2.349814952,-2.368429072,-0.670839038,1.218546791
4, Disneys Caribbean Beach Resort,30,0.991681735,-0.564769749,-0.857670274,-0.378088489,-0.811415168,-0.432934453,-0.681434599,-0.12828479,0.717454663,-1.09644485,-1.190606061,-1.144778044,-1.349814952,-1.368429072,-0.670839038,-0.781453209
7, Disneys Caribbean Beach Resort,8,0.991681735,1.435230251,1.142329726,0.621911511,0.188584832,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,0.650185048,-1.368429072,-0.670839038,-0.781453209
1, Disneys Caribbean Beach Resort,25,-0.008318265,-0.564769749,0.142329726,-0.378088489,0.188584832,-0.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,-0.190606061,-1.144778044,-2.349814952,-0.368429072,-0.670839038,0.218546791
1, Disneys Caribbean Beach Resort,10,-1.008318265,0.435230251,0.142329726,0.621911511,-1.811415168,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-1.190606061,-1.144778044,-0.349814952,-0.368429072,-0.670839038,0.218546791
6, Disneys Caribbean Beach Resort,8,0.991681735,-0.564769749,1.142329726,-0.378088489,-1.811415168,-1.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,0.809393939,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
4, Disneys Caribbean Beach Resort,12,0.991681735,-0.564769749,-1.857670274,-0.378088489,1.188584832,1.567065547,-0.681434599,0.87171521,-2.282545337,0.90355515,0.809393939,0.855221956,-1.349814952,-2.368429072,-0.670839038,1.218546791
10, Disneys BoardWalk Villas,22,-1.008318265,0.435230251,1.142329726,-0.378088489,1.188584832,1.567065547,1.318565401,-0.12828479,-2.282545337,-1.09644485,-0.190606061,-1.144778044,-2.349814952,-1.368429072,-0.670839038,0.218546791
7, Disneys BoardWalk Villas,9,0.991681735,-0.564769749,1.142329726,2.621911511,0.188584832,0.567065547,0.318565401,-0.12828479,-1.282545337,-0.09644485,0.809393939,-0.144778044,0.650185048,-0.368429072,0.329160962,0.218546791
4, Disneys BoardWalk Villas,35,-0.008318265,3.435230251,1.142329726,-0.378088489,2.188584832,0.567065547,-0.681434599,0.87171521,-2.282545337,-0.09644485,-0.190606061,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
9, Disneys BoardWalk Villas,7,0.991681735,1.435230251,1.142329726,-0.378088489,-1.811415168,2.567065547,1.318565401,0.87171521,1.717454663,-0.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,-0.670839038,1.218546791
1, Disneys BoardWalk Villas,18,-0.008318265,2.435230251,1.142329726,-0.378088489,1.188584832,2.567065547,3.318565401,-1.12828479,-1.282545337,0.90355515,1.809393939,2.855221956,0.650185048,-0.368429072,0.329160962,1.218546791
12, Disneys BoardWalk Villas,99,-3.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,0.567065547,1.318565401,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,1.650185048,-0.368429072,1.329160962,1.218546791
1, Disneys BoardWalk Villas,4,-0.008318265,-0.564769749,-0.857670274,-0.378088489,-1.811415168,-1.432934453,-0.681434599,-0.12828479,-2.282545337,2.90355515,0.809393939,0.855221956,-0.349814952,-0.368429072,-0.670839038,-0.781453209
4, Disneys BoardWalk Inn,6,-1.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,0.567065547,-0.681434599,0.87171521,0.717454663,-1.09644485,-1.190606061,-1.144778044,-2.349814952,0.631570928,-0.670839038,1.218546791
30, Disneys BoardWalk Inn,18,0.991681735,-0.564769749,0.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,0.855221956,-0.349814952,0.631570928,-0.670839038,-0.781453209
7, Disneys BoardWalk Inn,6,-1.008318265,-0.564769749,0.142329726,-0.378088489,-1.811415168,-1.432934453,-0.681434599,-0.12828479,-0.282545337,-1.09644485,1.809393939,-1.144778044,0.650185048,0.631570928,-0.670839038,1.218546791
6, Disneys BoardWalk Inn,10,-0.008318265,-0.564769749,1.142329726,0.621911511,0.188584832,0.567065547,-0.681434599,0.87171521,-0.282545337,-1.09644485,0.809393939,1.855221956,1.650185048,0.631570928,0.329160962,1.218546791
7, Disneys BoardWalk Inn,5,-0.008318265,-0.564769749,1.142329726,1.621911511,-1.811415168,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,0.650185048,1.631570928,0.329160962,1.218546791
4, Disneys BoardWalk Inn,12,-0.008318265,1.435230251,1.142329726,-0.378088489,0.188584832,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-1.190606061,-1.144778044,0.650185048,0.631570928,-0.670839038,1.218546791
4, Disneys BoardWalk Inn,30,-3.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,0.567065547,1.318565401,-3.12828479,-2.282545337,-1.09644485,-0.190606061,-1.144778044,0.650185048,-0.368429072,-0.670839038,1.218546791
4, Disneys Beach Club Villas,17,-0.008318265,0.435230251,0.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,-1.12828479,-2.282545337,-0.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,1.329160962,1.218546791
4, Disneys Beach Club Villas,7,0.991681735,0.435230251,1.142329726,-0.378088489,-0.811415168,0.567065547,0.318565401,0.87171521,-2.282545337,-0.09644485,0.809393939,2.855221956,0.650185048,0.631570928,-0.670839038,1.218546791
7, Disneys Beach Club Villas,15,0.991681735,0.435230251,1.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,-3.12828479,-2.282545337,1.90355515,0.809393939,1.855221956,1.650185048,1.631570928,0.329160962,1.218546791
1, Disneys Beach Club Villas,5,-3.008318265,1.435230251,1.142329726,-0.378088489,-1.811415168,1.567065547,-0.681434599,0.87171521,1.717454663,0.90355515,-0.190606061,0.855221956,1.650185048,1.631570928,0.329160962,1.218546791
